"","Agno","Grado","rbd","Grupo_socioeconomico","PtjeLectura","PtjeMatematica","Autoestima","Convivencia","HabitosSaludables","FormacionCiudadana","Desempeno"
"1",2016,"4b",5,"Medio",274,257,75,74,65,72,"MEDIO"
"2",2016,"4b",8,"Medio bajo",271,259,83,82,84,86,"INSUFICIENTE"
"3",2016,"4b",8,"Medio bajo",271,259,83,82,84,86,"MEDIO-BAJO"
"4",2016,"4b",8,"Medio bajo",271,259,83,82,84,86,"MEDIO"
"5",2016,"4b",9,"Medio",291,298,80,78,70,80,"MEDIO"
"6",2016,"4b",10,"Medio bajo",243,235,82,79,73,84,"MEDIO-BAJO"
"7",2016,"4b",11,"Medio bajo",257,236,73,69,63,70,"MEDIO"
"8",2016,"4b",12,"Medio bajo",279,284,77,82,70,86,"MEDIO"
"9",2016,"4b",12,"Medio bajo",279,284,77,82,70,86,"ALTO"
"10",2016,"4b",13,"Medio bajo",272,263,84,84,75,86,"MEDIO"
"11",2016,"4b",14,"Medio bajo",224,255,71,74,61,74,"MEDIO-BAJO"
"12",2016,"4b",15,"Medio",242,226,73,82,72,85,"SIN CATEGORIA: FALTA DE INFORMACIÓN"
"13",2016,"4b",15,"Medio",242,226,73,82,72,85,"INSUFICIENTE"
"14",2016,"4b",15,"Medio",242,226,73,82,72,85,"MEDIO-BAJO"
"15",2016,"4b",16,"Medio bajo",246,228,77,79,67,72,"INSUFICIENTE"
"16",2016,"4b",16,"Medio bajo",246,228,77,79,67,72,"MEDIO-BAJO"
"17",2016,"4b",17,"Medio bajo",240,232,70,NA,64,71,"MEDIO-BAJO"
"18",2016,"4b",17,"Medio bajo",240,232,70,NA,64,71,"MEDIO"
"19",2016,"4b",18,"Medio bajo",195,212,77,73,68,81,"MEDIO-BAJO"
"20",2016,"4b",18,"Medio bajo",195,212,77,73,68,81,"INSUFICIENTE"
"21",2016,"4b",19,"Medio bajo",259,226,79,75,68,79,"MEDIO"
"22",2016,"4b",20,"Medio bajo",242,226,71,73,69,81,"MEDIO"
"23",2016,"4b",20,"Medio bajo",242,226,71,73,69,81,"MEDIO-BAJO"
"24",2016,"4b",22,"Medio bajo",232,230,71,72,66,74,"MEDIO-BAJO"
"25",2016,"4b",25,"Medio bajo",249,223,73,70,67,78,"MEDIO-BAJO"
"26",2016,"4b",25,"Medio bajo",249,223,73,70,67,78,"INSUFICIENTE"
"27",2016,"4b",26,"Medio bajo",319,264,80,82,74,86,"MEDIO"
"28",2016,"4b",26,"Medio bajo",319,264,80,82,74,86,"ALTO"
"29",2016,"4b",27,"Medio",248,257,80,74,68,82,"MEDIO-BAJO"
"30",2016,"4b",27,"Medio",248,257,80,74,68,82,"MEDIO"
"31",2016,"4b",28,"Medio",271,263,74,80,73,81,"MEDIO"
"32",2016,"4b",28,"Medio",271,263,74,80,73,81,"ALTO"
"33",2016,"4b",29,"Medio bajo",233,235,73,76,69,80,"MEDIO-BAJO"
"34",2016,"4b",29,"Medio bajo",233,235,73,76,69,80,"MEDIO"
"35",2016,"4b",31,"Bajo",258,256,72,74,64,75,"ALTO"
"36",2016,"4b",32,"Medio bajo",243,248,73,74,71,80,"MEDIO"
"37",2016,"4b",33,"Medio bajo",281,293,77,80,83,81,"ALTO"
"38",2016,"4b",35,"Medio bajo",246,258,78,66,65,66,"SIN CATEGORIA: BAJA MATRICULA"
"39",2016,"4b",35,"Medio bajo",246,258,78,66,65,66,"MEDIO"
"40",2016,"4b",36,"Bajo",246,235,76,80,71,82,"MEDIO"
"41",2016,"4b",38,"Bajo",275,267,76,77,68,80,"MEDIO"
"42",2016,"4b",38,"Bajo",275,267,76,77,68,80,"ALTO"
"43",2016,"4b",39,"Bajo",221,188,66,72,59,64,"SIN CATEGORIA: BAJA MATRICULA"
"44",2016,"4b",39,"Bajo",221,188,66,72,59,64,"INSUFICIENTE"
"45",2016,"4b",41,"Medio bajo",200,247,72,74,56,73,"SIN CATEGORIA: BAJA MATRICULA"
"46",2016,"4b",42,"Medio alto",247,235,85,85,78,87,"SIN CATEGORIA: BAJA MATRICULA"
"47",2016,"4b",45,"Medio",290,273,77,77,76,81,"MEDIO"
"48",2016,"4b",50,"Medio",290,287,73,79,71,77,"ALTO"
"49",2016,"4b",52,"Medio",296,302,74,74,67,73,"ALTO"
"50",2016,"4b",56,"Medio alto",299,277,75,79,74,80,"MEDIO"
"51",2016,"4b",59,"Alto",306,301,77,77,75,83,"ALTO"
"52",2016,"4b",59,"Alto",306,301,77,77,75,83,"MEDIO"
"53",2016,"4b",60,"Medio alto",292,276,74,74,69,74,"MEDIO"
"54",2016,"4b",67,"Medio alto",265,266,73,77,67,75,"MEDIO"
"55",2016,"4b",69,"Alto",299,295,71,80,71,77,"ALTO"
"56",2016,"4b",70,"Bajo",NA,NA,93,77,85,NA,"SIN CATEGORIA: BAJA MATRICULA"
"57",2016,"4b",72,"Bajo",264,211,81,76,73,81,"SIN CATEGORIA: BAJA MATRICULA"
"58",2016,"4b",73,"Bajo",NA,NA,65,NA,86,74,"SIN CATEGORIA: BAJA MATRICULA"
"59",2016,"4b",75,"Bajo",NA,NA,65,65,82,70,"SIN CATEGORIA: BAJA MATRICULA"
"60",2016,"4b",78,"Medio bajo",209,196,76,NA,65,75,"MEDIO"
"61",2016,"4b",78,"Medio bajo",209,196,76,NA,65,75,"MEDIO-BAJO"
"62",2016,"4b",79,"Bajo",NA,NA,NA,NA,68,73,"SIN CATEGORIA: BAJA MATRICULA"
"63",2016,"4b",84,"Medio bajo",NA,NA,72,NA,41,NA,"SIN CATEGORIA: BAJA MATRICULA"
